Time resolution is 1 ps
第 83 行数据的第 3 位为 0
第 83 行数据的第 4 位为 0
第 83 行数据的第 5 位为 0
第 83 行数据的第 6 位为 0
第 83 行数据的第 7 位为 0
第 84 行数据的第 0 位为 0
第 84 行数据的第 1 位为 1
第 84 行数据的第 2 位为 1
第 84 行数据的第 3 位为 1
第 84 行数据的第 4 位为 1
第 84 行数据的第 5 位为 1
第 84 行数据的第 6 位为 1
第 84 行数据的第 7 位为 1
第 85 行数据的第 0 位为 0
第 85 行数据的第 1 位为 0
第 85 行数据的第 2 位为 0
第 85 行数据的第 3 位为 0
第 85 行数据的第 4 位为 0
第 85 行数据的第 5 位为 0
第 85 行数据的第 6 位为 0
第 85 行数据的第 7 位为 0
第 86 行数据的第 0 位为 1
第 86 行数据的第 1 位为 0
第 86 行数据的第 2 位为 0
第 86 行数据的第 3 位为 0
第 86 行数据的第 4 位为 0
第 86 行数据的第 5 位为 0
第 86 行数据的第 6 位为 0
第 86 行数据的第 7 位为 1
第 87 行数据的第 0 位为 0
第 87 行数据的第 1 位为 0
第 87 行数据的第 2 位为 0
第 87 行数据的第 3 位为 0
第 87 行数据的第 4 位为 0
第 87 行数据的第 5 位为 0
第 87 行数据的第 6 位为 0
第 87 行数据的第 7 位为 0
第 88 行数据的第 0 位为 0
第 88 行数据的第 1 位为 0
第 88 行数据的第 2 位为 0
第 88 行数据的第 3 位为 0
第 88 行数据的第 4 位为 0
第 88 行数据的第 5 位为 0
第 88 行数据的第 6 位为 0
第 88 行数据的第 7 位为 0
第 89 行数据的第 0 位为 0
第 89 行数据的第 1 位为 0
第 89 行数据的第 2 位为 0
第 89 行数据的第 3 位为 0
第 89 行数据的第 4 位为 0
第 89 行数据的第 5 位为 0
第 89 行数据的第 6 位为 0
第 89 行数据的第 7 位为 0
第 90 行数据的第 0 位为 0
第 90 行数据的第 1 位为 0
第 90 行数据的第 2 位为 0
第 90 行数据的第 3 位为 0
第 90 行数据的第 4 位为 0
第 90 行数据的第 5 位为 0
第 90 行数据的第 6 位为 0
第 90 行数据的第 7 位为 0
第 91 行数据的第 0 位为 0
第 91 行数据的第 1 位为 0
第 91 行数据的第 2 位为 0
第 91 行数据的第 3 位为 0
第 91 行数据的第 4 位为 0
第 91 行数据的第 5 位为 0
第 91 行数据的第 6 位为 0
第 91 行数据的第 7 位为 0
第 92 行数据的第 0 位为 0
第 92 行数据的第 1 位为 0
第 92 行数据的第 2 位为 0
第 92 行数据的第 3 位为 0
第 92 行数据的第 4 位为 0
第 92 行数据的第 5 位为 0
第 92 行数据的第 6 位为 0
第 92 行数据的第 7 位为 0
第 93 行数据的第 0 位为 0
第 93 行数据的第 1 位为 0
第 93 行数据的第 2 位为 0
第 93 行数据的第 3 位为 0
第 93 行数据的第 4 位为 0
第 93 行数据的第 5 位为 0
第 93 行数据的第 6 位为 0
第 93 行数据的第 7 位为 0
第 94 行数据的第 0 位为 0
第 94 行数据的第 1 位为 0
第 94 行数据的第 2 位为 0
第 94 行数据的第 3 位为 0
第 94 行数据的第 4 位为 0
第 94 行数据的第 5 位为 0
第 94 行数据的第 6 位为 0
第 94 行数据的第 7 位为 0
第 95 行数据的第 0 位为 0
第 95 行数据的第 1 位为 0
第 95 行数据的第 2 位为 0
第 95 行数据的第 3 位为 0
第 95 行数据的第 4 位为 0
第 95 行数据的第 5 位为 0
第 95 行数据的第 6 位为 0
第 95 行数据的第 7 位为 0
第 96 行数据的第 0 位为 0
第 96 行数据的第 1 位为 1
第 96 行数据的第 2 位为 1
第 96 行数据的第 3 位为 1
第 96 行数据的第 4 位为 1
第 96 行数据的第 5 位为 1
第 96 行数据的第 6 位为 1
第 96 行数据的第 7 位为 1
第 97 行数据的第 0 位为 0
第 97 行数据的第 1 位为 0
第 97 行数据的第 2 位为 0
第 97 行数据的第 3 位为 0
第 97 行数据的第 4 位为 0
第 97 行数据的第 5 位为 0
第 97 行数据的第 6 位为 0
第 97 行数据的第 7 位为 0
第 98 行数据的第 0 位为 1
第 98 行数据的第 1 位为 0
第 98 行数据的第 2 位为 0
第 98 行数据的第 3 位为 0
第 98 行数据的第 4 位为 0
第 98 行数据的第 5 位为 0
第 98 行数据的第 6 位为 0
第 98 行数据的第 7 位为 1
第 99 行数据的第 0 位为 0
第 99 行数据的第 1 位为 0
第 99 行数据的第 2 位为 0
第 99 行数据的第 3 位为 0
第 99 行数据的第 4 位为 0
第 99 行数据的第 5 位为 0
第 99 行数据的第 6 位为 0
第 99 行数据的第 7 位为 0
第 100 行数据的第 0 位为 0
第 100 行数据的第 1 位为 1
第 100 行数据的第 2 位为 1
第 100 行数据的第 3 位为 1
第 100 行数据的第 4 位为 1
第 100 行数据的第 5 位为 1
第 100 行数据的第 6 位为 1
第 100 行数据的第 7 位为 1
第 101 行数据的第 0 位为 0
第 101 行数据的第 1 位为 0
第 101 行数据的第 2 位为 0
第 101 行数据的第 3 位为 0
第 101 行数据的第 4 位为 0
第 101 行数据的第 5 位为 0
第 101 行数据的第 6 位为 0
第 101 行数据的第 7 位为 0
第 102 行数据的第 0 位为 1
